epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.49,1.06321,2.26352,1.47159,0.5531,0.60085,0.55702,0.43906,1.70043,2.03307,2.08653,0.00332528,0.00332528,0.00332528
2,623.324,1.12034,1.83541,1.48122,0.58139,0.33406,0.36592,0.2459,1.91155,2.72569,2.31829,0.00659269,0.00659269,0.00659269
3,966.655,1.30047,2.10279,1.61196,0.13916,0.15602,0.08365,0.0452,2.34324,4.98663,2.73499,0.00979411,0.00979411,0.00979411
4,1278.8,1.40828,2.30161,1.70046,0.28979,0.17743,0.15547,0.07878,2.55087,4.55031,2.99666,0.009703,0.009703,0.009703
5,1549.82,1.36774,2.24392,1.6816,0.5272,0.23421,0.26566,0.16995,2.18656,3.71077,2.60358,0.009604,0.009604,0.009604
6,1830.26,1.30167,2.13218,1.61982,0.4463,0.38978,0.30601,0.21258,2.09989,3.40998,2.44069,0.009505,0.009505,0.009505
7,2142.66,1.26569,2.04626,1.58518,0.40656,0.42329,0.39349,0.27842,1.95814,2.91811,2.31874,0.009406,0.009406,0.009406
8,2427.48,1.22132,1.95579,1.55585,0.3819,0.42351,0.3394,0.24561,1.84157,2.87401,2.28072,0.009307,0.009307,0.009307
9,2733.7,1.19536,1.87721,1.52138,0.56012,0.43991,0.5121,0.37192,1.95434,2.74169,2.30505,0.009208,0.009208,0.009208
10,3067.36,1.16906,1.84308,1.50816,0.51175,0.49976,0.49552,0.37641,1.89967,2.98886,2.33624,0.009109,0.009109,0.009109
11,3364.5,1.13489,1.77163,1.48114,0.63099,0.50308,0.56262,0.46383,1.82586,2.62333,2.20488,0.00901,0.00901,0.00901
12,3657.44,1.12673,1.72177,1.46879,0.61726,0.55519,0.58202,0.44997,1.84042,2.33997,2.17895,0.008911,0.008911,0.008911
13,3961.57,1.1014,1.67637,1.45749,0.70339,0.55931,0.63008,0.49488,1.82692,2.60503,2.19594,0.008812,0.008812,0.008812
14,4295.96,1.08143,1.65458,1.44072,0.6545,0.61355,0.65934,0.53533,1.73094,2.22266,2.13254,0.008713,0.008713,0.008713
15,4606.18,1.06351,1.60272,1.42878,0.58511,0.57774,0.58512,0.46213,1.74489,2.35581,2.13946,0.008614,0.008614,0.008614
16,4924.06,1.05574,1.5844,1.41505,0.7769,0.61747,0.70335,0.56749,1.7149,2.37337,2.16502,0.008515,0.008515,0.008515
17,5232.3,1.04466,1.5365,1.40606,0.70545,0.57436,0.65469,0.53292,1.72814,2.10369,2.09398,0.008416,0.008416,0.008416
18,5556.29,1.03152,1.4993,1.39799,0.5933,0.54792,0.5861,0.46177,1.65199,2.30628,2.04135,0.008317,0.008317,0.008317
19,5863.3,1.01096,1.48241,1.38398,0.71606,0.59885,0.65722,0.51627,1.66249,2.07617,2.06891,0.008218,0.008218,0.008218
20,6174.17,0.99214,1.44975,1.37075,0.65598,0.66779,0.68977,0.56221,1.79071,2.12914,2.22742,0.008119,0.008119,0.008119
21,6483.6,0.98776,1.42171,1.36887,0.73871,0.60657,0.68149,0.5502,1.63761,1.95105,1.99152,0.00802,0.00802,0.00802
22,6815.59,0.99127,1.40799,1.36841,0.73813,0.61794,0.69669,0.547,1.63006,1.88244,2.01891,0.007921,0.007921,0.007921
23,7122.38,0.97978,1.38084,1.36049,0.67204,0.66395,0.66189,0.53702,1.70279,1.8619,2.10533,0.007822,0.007822,0.007822
24,7457.92,0.97691,1.37519,1.36324,0.65919,0.64206,0.66773,0.5463,1.62717,1.99496,2.05522,0.007723,0.007723,0.007723
25,7761.47,0.95931,1.34798,1.354,0.58167,0.66347,0.61093,0.51051,1.63027,1.93798,2.07892,0.007624,0.007624,0.007624
26,8082.82,0.94524,1.34438,1.33431,0.68442,0.69468,0.73346,0.60855,1.6256,1.83009,2.02287,0.007525,0.007525,0.007525
27,8387.53,0.94153,1.30842,1.3289,0.6877,0.63988,0.68095,0.55654,1.57339,1.86964,1.99691,0.007426,0.007426,0.007426
28,8713.27,0.93,1.30159,1.32514,0.72823,0.64716,0.73319,0.61419,1.59168,1.81972,2.0468,0.007327,0.007327,0.007327
29,9016.9,0.9314,1.29271,1.32815,0.7087,0.70948,0.744,0.60982,1.57987,1.79118,2.00043,0.007228,0.007228,0.007228
30,9348.41,0.90705,1.23931,1.3083,0.70868,0.67126,0.72285,0.61301,1.60034,1.74906,2.06774,0.007129,0.007129,0.007129
31,9652,0.91875,1.25221,1.31677,0.77168,0.67732,0.75304,0.60811,1.62173,1.79818,2.07887,0.00703,0.00703,0.00703
32,9986.29,0.90796,1.22959,1.30584,0.69837,0.67409,0.71564,0.60179,1.58102,1.74726,2.05898,0.006931,0.006931,0.006931
33,10290.2,0.8965,1.20039,1.30157,0.74394,0.70835,0.77604,0.63997,1.54823,1.74318,1.97493,0.006832,0.006832,0.006832
34,10621.1,0.89104,1.19497,1.30052,0.7236,0.74772,0.73407,0.61024,1.5982,1.72183,2.01246,0.006733,0.006733,0.006733
35,10925.8,0.88321,1.19777,1.29911,0.71957,0.72751,0.76453,0.63178,1.58141,1.6977,2.03233,0.006634,0.006634,0.006634
36,11258.1,0.88316,1.19077,1.2967,0.66654,0.69314,0.76243,0.63302,1.61727,1.70149,2.01208,0.006535,0.006535,0.006535
37,11566.5,0.87899,1.1589,1.2886,0.70411,0.74048,0.75686,0.64175,1.56542,1.64549,1.95867,0.006436,0.006436,0.006436
38,11878.9,0.87187,1.15078,1.28247,0.72935,0.72523,0.77044,0.64282,1.53741,1.60221,1.88603,0.006337,0.006337,0.006337
39,12188.7,0.85742,1.13576,1.27438,0.74861,0.76055,0.76729,0.64582,1.49143,1.57491,1.88094,0.006238,0.006238,0.006238
40,12520.3,0.85499,1.11666,1.27309,0.66763,0.7605,0.76684,0.62912,1.50948,1.57971,1.9007,0.006139,0.006139,0.006139
41,12807.5,0.85721,1.11002,1.26834,0.76226,0.76716,0.79004,0.67058,1.51684,1.61935,1.94854,0.00604,0.00604,0.00604
42,13099.7,0.85483,1.11086,1.27641,0.72536,0.71911,0.74831,0.60871,1.52272,1.53087,1.97083,0.005941,0.005941,0.005941
43,13383,0.85339,1.09516,1.26866,0.7292,0.67582,0.71654,0.59973,1.55004,1.64585,2.00727,0.005842,0.005842,0.005842
44,13690.8,0.84356,1.07375,1.25997,0.84496,0.6689,0.78842,0.67355,1.52395,1.56232,1.97574,0.005743,0.005743,0.005743
45,13999.3,0.8314,1.0774,1.25536,0.78063,0.69896,0.76056,0.64818,1.52385,1.55647,1.97722,0.005644,0.005644,0.005644
